Product,ExpiryDate,Symbol,Strike,PutCall,Name,Position,Theo,Delta,Theta,Vega,Gamma,ActualVolatility,TimeToExpiry,ImpliedVolatility
Option,2020-03-13,OEU3MC,100.5,Put,OEU3MC Mar Option,-1000,0.086047010447103,-0.456218742100333,-0.000207207133831,0.32314435602502,1.57308383514766,0.003050072698447,0.651151195407238,0
Future,2020-12-16,STERL,0,Undefined,STERL Dec Future,1262,99.3425,1,0,0,0,0,1.41196631380421,0
Future,2020-12-16,STERL,0,Undefined,STERL Dec Future,1262,99.3425,1,0,0,0,0,1.41196631380421,0
Future,2020-09-16,STERL,0,Undefined,STERL Sep Future,0,99.3925,1,0,0,0,0,1.16333243402278,0
Future,2020-09-16,STERL,0,Undefined,STERL Sep Future,-5357,99.3925,1,0,0,0,0,1.16333243402278,0
Option,2020-03-18,OSTERL,100,Call,OSTERL Mar Option,-2000,0.010423390205658,0.063674299111226,-9.7956996680406E-05,0.096532943284455,0.30666513688132,0.004928940846623,0.664926240944624,0.460749477532756
Option,2020-03-18,OSTERL,98.25,Put,OSTERL Mar Option,1000,0.00445885729034,-0.021079936024795,-5.85174575531826E-05,0.0410027340479,0.098308311649536,0.00693212404131,0.664926240944624,0.638546123128101
Option,2020-03-18,OSTERL,98.25,Put,OSTERL Mar Option,-100,0.00445885729034,-0.021079936024795,-5.85174575531826E-05,0.0410027340479,0.098308311649536,0.00693212404131,0.664926240944624,0.638546123128101
Future,2021-03-17,STERL,0,Undefined,STERL Mar Future,0,99.3475,1,0,0,0,0,1.66116818873661,0
Future,2021-03-17,STERL,0,Undefined,STERL Mar Future,508,99.3475,1,0,0,0,0,1.66116818873661,0
Future,2021-03-17,STERL,0,Undefined,STERL Mar Future,508,99.3475,1,0,0,0,0,1.66116818873661,0
Option,2020-03-16,OEU3,100.5,Call,OEU3 Mar Option,-10100,0.091521456295183,0.598960810116102,-0.000137169101873,0.317142604665793,2.22360456408926,0.002083226852727,0.659347916718616,0.215183979718365
